Year;Measurement;ATC group;Value;Unit;Sector;Region;Source
2011;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;23,6;DDD/1000 inhabitants/day;Ambulant;Belgium;ESAC-Net
2012;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;23,94;DDD/1000 inhabitants/day;Ambulant;Belgium;ESAC-Net
2013;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;22,57;DDD/1000 inhabitants/day;Ambulant;Belgium;ESAC-Net
2014;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;22,36;DDD/1000 inhabitants/day;Ambulant;Belgium;ESAC-Net
2015;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;22,75;DDD/1000 inhabitants/day;Ambulant;Belgium;ESAC-Net
2016;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;22,53;DDD/1000 inhabitants/day;Ambulant;Belgium;ESAC-Net
2017;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;21,15;DDD/1000 inhabitants/day;Ambulant;Belgium;ESAC-Net
2018;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;20,68;DDD/1000 inhabitants/day;Ambulant;Belgium;ESAC-Net
2019;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;19,77;DDD/1000 inhabitants/day;Ambulant;Belgium;ESAC-Net
2020;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;15,25;DDD/1000 inhabitants/day;Ambulant;Belgium;ESAC-Net
2021;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;16;DDD/1000 inhabitants/day;Ambulant;Belgium;ESAC-Net
2022;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;19,01;DDD/1000 inhabitants/day;Ambulant;Belgium;ESAC-Net
2011;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;17,75;DDD/1000 inhabitants/day;Ambulant;Europe;ESAC-Net
2012;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;17,83;DDD/1000 inhabitants/day;Ambulant;Europe;ESAC-Net
2013;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;18,21;DDD/1000 inhabitants/day;Ambulant;Europe;ESAC-Net
2014;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;17,87;DDD/1000 inhabitants/day;Ambulant;Europe;ESAC-Net
2015;Consumption of antibacterials for systemic use (DDD per 1,000 inhabitants and per day);J01;18,21;DDD/1000 inhabitants/day;Ambulant;Europe;ESAC-Net
