"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","AT","Austria",5.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","DE","Germany",33.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","EL","Greece",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","ES","Spain",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","FI","Finland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","FR","France",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","HR","Croatia",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","IT","Italy",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","LT","Lithuania",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","MT","Malta",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","NL","Netherlands",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","NO","Norway",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","PL","Poland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","RO","Romania",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2021","SK","Slovakia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","R - resistant isolates","N","2021","AT","Austria",8.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","R - resistant isolates","N","2021","BE","Belgium",8.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","R - resistant isolates","N","2021","BG","Bulgaria",177.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","R - resistant isolates","N","2021","CY","Cyprus",192.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","R - resistant isolates","N","2021","CZ","Czechia",62.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","R - resistant isolates","N","2021","DE","Germany",23.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","R - resistant isolates","N","2021","DK","Denmark",7.000000000,""
