Year;Pathogen;Antibiotic;Sample_size;Percent_resistant;Number_resistants;Region;Surveillance;Matrix
2011;Shigella spp.;Ciprofloxacin;127;18,1;23;Belgium;;
2012;Shigella spp.;Ciprofloxacin;324;11,4;37;Belgium;;
2013;Shigella spp.;Ciprofloxacin;321;9,9;32;Belgium;;
2014;Shigella spp.;Ciprofloxacin;399;10,7;43;Belgium;;
2015;Shigella spp.;Ciprofloxacin;392;18,1;71;Belgium;;
2016;Shigella spp.;Ciprofloxacin;367;14,4;53;Belgium;;
2017;Shigella spp.;Ciprofloxacin;353;28,6;101;Belgium;;
2018;Shigella spp.;Ciprofloxacin;427;41,5;177;Belgium;;
2019;Shigella spp.;Ciprofloxacin;421;23,9;101;Belgium;;
2020;Shigella spp.;Ciprofloxacin;114;29,8;34;Belgium;;
2021;Shigella spp.;Ciprofloxacin;197;23,3;46;Belgium;;
2022;Shigella spp.;Ciprofloxacin;297;38,00;113;Belgium;;
2011;Shigella spp.;ESBL;127;0;0;Belgium;;
2012;Shigella spp.;ESBL;324;1,6;5;Belgium;;
2013;Shigella spp.;ESBL;321;3,4;11;Belgium;;
2014;Shigella spp.;ESBL;399;2,5;10;Belgium;;
2015;Shigella spp.;ESBL;392;4,8;19;Belgium;;
2016;Shigella spp.;ESBL;367;3,1;11;Belgium;;
2017;Shigella spp.;ESBL;353;10,9;38;Belgium;;
2018;Shigella spp.;ESBL;427;12,1;52;Belgium;;
2019;Shigella spp.;ESBL;421;13,8;58;Belgium;;
2020;Shigella spp.;ESBL;114;10,5;12;Belgium;;
2021;Shigella spp.;ESBL;197;19,3;38;Belgium;;
2022;Shigella spp.;ESBL;297;37,00;110;Belgium;;
2011;Shigella spp.;Azithromycin;127;11;14;Belgium;;
2012;Shigella spp.;Azithromycin;324;2,2;7;Belgium;;
2013;Shigella spp.;Azithromycin;321;13,4;43;Belgium;;
2014;Shigella spp.;Azithromycin;399;0,5;2;Belgium;;
2015;Shigella spp.;Azithromycin;392;9,2;36;Belgium;;
2016;Shigella spp.;Azithromycin;367;5,4;20;Belgium;;
2017;Shigella spp.;Azithromycin;353;22;78;Belgium;;
2018;Shigella spp.;Azithromycin;427;37,2;159;Belgium;;
2019;Shigella spp.;Azithromycin;421;23,6;99;Belgium;;
2020;Shigella spp.;Azithromycin;114;34,2;39;Belgium;;
2021;Shigella spp.;Azithromycin;197;37,5;74;Belgium;;
2022;Shigella spp.;Azithromycin;297;39,10;116;Belgium;;
