meetplaats;waterlichaam;X;Y;Deelmonster;Datum;Amoxicillin.ng.L.sign;Amoxicillin.ng.L.;Azithromyc.ng.L.sign;Azithromyc.ng.L.;Ciprofloxacin.ng.L.sign;Ciprofloxacin.ng.L.;Clarithromyc.ng.L.sign;Clarithromyc.ng.L.;Erythromyc.ng.L.sign;Erythromyc.ng.L
107750;;231653;207915;21826022;25-09-18;<;5;;;<;12,5;;;<;1
113350;;241978;205237;21823283;17-09-18;<;5;;;<;12,5;;;<;1
12000;LEOPOLDKANAAL I;104330;218850;21706539;27-01-16;;;;;;;<;10;;
12000;LEOPOLDKANAAL I;104330;218850;21844790;25-02-19;;;;;;;<;10;;
12000;LEOPOLDKANAAL I;104330;218850;21840866;28-01-19;;;;;;;<;20;;
12000;LEOPOLDKANAAL I;104330;218850;21988623;26-07-22;;;;;;;<;7,5;;
12000;LEOPOLDKANAAL I;104330;218850;21851754;24-04-19;;;;;;;<;10;;
12000;LEOPOLDKANAAL I;104330;218850;21847865;26-03-19;;;;;;;<;20;;
12000;LEOPOLDKANAAL I;104330;218850;21875343;22-10-19;;;;;;;<;7,5;;
12000;LEOPOLDKANAAL I;104330;218850;21868241;26-08-19;;;;;;;<;10;;
12000;LEOPOLDKANAAL I;104330;218850;22000278;24-11-22;;;;;;;<;7,5;;
12000;LEOPOLDKANAAL I;104330;218850;21702310;19-11-15;;;;;;;<;10;;
12000;LEOPOLDKANAAL I;104330;218850;21855094;23-05-19;;;;;;;<;10;;
12000;LEOPOLDKANAAL I;104330;218850;21863937;24-07-19;;;;;;;<;10;;
12000;LEOPOLDKANAAL I;104330;218850;21718876;25-05-16;;;;;;;<;10;;
12000;LEOPOLDKANAAL I;104330;218850;21733070;21-09-16;;;;;;;<;10;;
12000;LEOPOLDKANAAL I;104330;218850;22002491;08-12-22;;;;;;;<;7,5;;
12000;LEOPOLDKANAAL I;104330;218850;21727426;27-07-16;;;;;;;<;10;;
12000;LEOPOLDKANAAL I;104330;218850;21738393;17-11-16;;;;;;;<;10;;
12000;LEOPOLDKANAAL I;104330;218850;21994179;22-09-22;;;;;;;<;7,5;;
12000;LEOPOLDKANAAL I;104330;218850;21880792;09-12-19;;;;;;;<;7,5;;
12000;LEOPOLDKANAAL I;104330;218850;21979063;19-05-22;;;;;;;<;7,5;;
