Year;Measurement;Value;Unit;
2011;Total sales (mg/kg biomass);146,5;mg/kg biomass;
2012;Total sales (mg/kg biomass);136,5;mg/kg biomass;
2013;Total sales (mg/kg biomass);127,9;mg/kg biomass;
2014;Total sales (mg/kg biomass);129,4;mg/kg biomass;
2015;Total sales (mg/kg biomass);123,2;mg/kg biomass;
2016;Total sales (mg/kg biomass);117,3;mg/kg biomass;
2017;Total sales (mg/kg biomass);108,5;mg/kg biomass;
2018;Total sales (mg/kg biomass);94,8;mg/kg biomass;
2019;Total sales (mg/kg biomass);87,3;mg/kg biomass;
2020;Total sales (mg/kg biomass);87,8;mg/kg biomass;
2021;Total sales (mg/kg biomass);81,2;mg/kg biomass;
2022;Total sales (mg/kg biomass);61,4;mg/kg biomass;
2011;Sales fluoro(quinolones)+ 3rd- and 4th-generation cephalosporins (mg/kg biomass);2,01;mg/kg biomass;
2012;Sales fluoro(quinolones)+ 3rd- and 4th-generation cephalosporins (mg/kg biomass);2,07;mg/kg biomass;
2013;Sales fluoro(quinolones)+ 3rd- and 4th-generation cephalosporins (mg/kg biomass);1,64;mg/kg biomass;
2014;Sales fluoro(quinolones)+ 3rd- and 4th-generation cephalosporins (mg/kg biomass);1,69;mg/kg biomass;
2015;Sales fluoro(quinolones)+ 3rd- and 4th-generation cephalosporins (mg/kg biomass);1,92;mg/kg biomass;
2016;Sales fluoro(quinolones)+ 3rd- and 4th-generation cephalosporins (mg/kg biomass);0,82;mg/kg biomass;
2017;Sales fluoro(quinolones)+ 3rd- and 4th-generation cephalosporins (mg/kg biomass);0,29;mg/kg biomass;
2018;Sales fluoro(quinolones)+ 3rd- and 4th-generation cephalosporins (mg/kg biomass);0,44;mg/kg biomass;
2019;Sales fluoro(quinolones)+ 3rd- and 4th-generation cephalosporins (mg/kg biomass);0,48;mg/kg biomass;
2020;Sales fluoro(quinolones)+ 3rd- and 4th-generation cephalosporins (mg/kg biomass);0,73;mg/kg biomass;
2021;Sales fluoro(quinolones)+ 3rd- and 4th-generation cephalosporins (mg/kg biomass);0,42;mg/kg biomass;
2022;Sales fluoro(quinolones)+ 3rd- and 4th-generation cephalosporins (mg/kg biomass);0,42;mg/kg biomass;
2011;Sales premixes (mg/kg biomass);28,1;mg/kg biomass;
2012;Sales premixes (mg/kg biomass);27,2;mg/kg biomass;
2013;Sales premixes (mg/kg biomass);25,3;mg/kg biomass;
2014;Sales premixes (mg/kg biomass);25,3;mg/kg biomass;
2015;Sales premixes (mg/kg biomass);24;mg/kg biomass;
2016;Sales premixes (mg/kg biomass);17,4;mg/kg biomass;
2017;Sales premixes (mg/kg biomass);9,4;mg/kg biomass;
2018;Sales premixes (mg/kg biomass);8,7;mg/kg biomass;
2019;Sales premixes (mg/kg biomass);8;mg/kg biomass;
2020;Sales premixes (mg/kg biomass);8,3;mg/kg biomass;
2021;Sales premixes (mg/kg biomass);7,2;mg/kg biomass;
2022;Sales premixes (mg/kg biomass);4,6;mg/kg biomass;
2011;Sales polymyxins (mg/kg biomass);4,47;mg/kg biomass;
2012;Sales polymyxins (mg/kg biomass);4,74;mg/kg biomass;
2013;Sales polymyxins (mg/kg biomass);3,89;mg/kg biomass;
2014;Sales polymyxins (mg/kg biomass);2,74;mg/kg biomass;
2015;Sales polymyxins (mg/kg biomass);2,25;mg/kg biomass;
2016;Sales polymyxins (mg/kg biomass);2,03;mg/kg biomass;
2017;Sales polymyxins (mg/kg biomass);1,76;mg/kg biomass;
2018;Sales polymyxins (mg/kg biomass);1,69;mg/kg biomass;
2019;Sales polymyxins (mg/kg biomass);1,5;mg/kg biomass;
2020;Sales polymyxins (mg/kg biomass);1,33;mg/kg biomass;
2021;Sales polymyxins (mg/kg biomass);1,17;mg/kg biomass;
2022;Sales polymyxins (mg/kg biomass);0,52;mg/kg biomass;
2018;Sucklers;1,84;Median BD100;
2019;Sucklers;1,68;Median BD100;
2020;Sucklers;1,63;Median BD100;
2021;Sucklers;1,64;Median BD100;
2022;Sucklers;0,91;Median BD100;
2018;Weaners;14,31;Median BD100;
2019;Weaners;15,08;Median BD100;
2020;Weaners;15,83;Median BD100;
2021;Weaners;12,79;Median BD100;
2022;Weaners;9,89;Median BD100;
2018;Fatteners;3,25;Median BD100;
2019;Fatteners;3,2;Median BD100;
2020;Fatteners;2,89;Median BD100;
2021;Fatteners;2,48;Median BD100;
2022;Fatteners;1,89;Median BD100;
2018;Breeding pigs;0,32;Median BD100;
2019;Breeding pigs;0,4;Median BD100;
2020;Breeding pigs;0,4;Median BD100;
2021;Breeding pigs;0,33;Median BD100;
2022;Breeding pigs;0,27;Median BD100;
2018;Laying hens;0,55;Median BD100;
2019;Laying hens;1,42;Median BD100;
2020;Laying hens;1,67;Median BD100;
2021;Laying hens;1,59;Median BD100;
2022;Laying hens;1,2;Median BD100;
2018;Broilers;6,10;Median BD100;
2019;Broilers;5,89;Median BD100;
2020;Broilers;5,4;Median BD100;
2021;Broilers;3,52;Median BD100;
2022;Broilers;3,88;Median BD100;
2018;Veal calves;27,0;Median BD100;
2019;Veal calves;21,39;Median BD100;
2020;Veal calves;20,16;Median BD100;
2021;Veal calves;16,32;Median BD100;
2022;Veal calves;15,49;Median BD100;
