Year;Pathogen;Antibiotic;Sample_size;Percent_resistant;Number_resistants;Region;Surveillance;Matrix
2012;E.coli;Colistin;257;0;0;Belgium;EARS;Blood/CSF
2013;E.coli;Colistin;1082;0,6;6;Belgium;EARS;Blood/CSF
2014;E.coli;Colistin;506;0,2;1;Belgium;EARS;Blood/CSF
2015;E.coli;Colistin;927;1,3;12;Belgium;EARS;Blood/CSF
2016;E.coli;Colistin;1784;0,4;7;Belgium;EARS;Blood/CSF
2017;E.coli;Colistin;1393;0,3;4;Belgium;EARS;Blood/CSF
2018;E.coli;Colistin;2233;0,9;20;Belgium;EARS;Blood/CSF
2019;E.coli;Colistin;1981;0,8;16;Belgium;EARS;Blood/CSF
2020;E.coli;Colistin;1812;0,9;16;Belgium;EARS;Blood/CSF
2021;E.coli;Colistin;1594;1,3;21;Belgium;EARS;Blood/CSF
2012;E.coli;Colistin;na;na;na;Belgium;EARS;Urine
2013;E.coli;Colistin;na;na;na;Belgium;EARS;Urine
2014;E.coli;Colistin;na;na;na;Belgium;EARS;Urine
2015;E.coli;Colistin;na;na;na;Belgium;EARS;Urine
2016;E.coli;Colistin;na;na;na;Belgium;EARS;Urine
2017;E.coli;Colistin;17228;0,4;69;Belgium;EARS;Urine
2018;E.coli;Colistin;30118;0,6;181;Belgium;EARS;Urine
2019;E.coli;Colistin;27887;0,9;251;Belgium;EARS;Urine
2020;E.coli;Colistin;25822;1,1;284;Belgium;EARS;Urine
2021;E.coli;Colistin;32695;0,8;262;Belgium;EARS;Urine
2011;E.coli;3GC;3405;5,7;194;Belgium;EARS;Blood/CSF
2012;E.coli;3GC;4097;6,9;283;Belgium;EARS;Blood/CSF
2013;E.coli;3GC;4051;8;324;Belgium;EARS;Blood/CSF
2014;E.coli;3GC;2800;9,7;272;Belgium;EARS;Blood/CSF
2015;E.coli;3GC;2908;10;291;Belgium;EARS;Blood/CSF
2016;E.coli;3GC;3737;10,5;392;Belgium;EARS;Blood/CSF
2017;E.coli;3GC;4670;9,7;453;Belgium;EARS;Blood/CSF
2018;E.coli;3GC;4644;9;418;Belgium;EARS;Blood/CSF
2019;E.coli;3GC;4230;10,1;427;Belgium;EARS;Blood/CSF
2020;E.coli;3GC;4632;9,8;454;Belgium;EARS;Blood/CSF
2021;E.coli;3GC;5220;8,2;428;Belgium;EARS;Blood/CSF
2011;E.coli;3GC;na;na;na;Belgium;EARS;Urine
2012;E.coli;3GC;na;na;na;Belgium;EARS;Urine
2013;E.coli;3GC;na;na;na;Belgium;EARS;Urine
2014;E.coli;3GC;na;na;na;Belgium;EARS;Urine
2015;E.coli;3GC;na;na;na;Belgium;EARS;Urine
2016;E.coli;3GC;na;na;na;Belgium;EARS;Urine
2017;E.coli;3GC;82636;5,8;4793;Belgium;EARS;Urine
2018;E.coli;3GC;104256;6,4;6672;Belgium;EARS;Urine
2019;E.coli;3GC;102540;6,2;6357;Belgium;EARS;Urine
2020;E.coli;3GC;107666;5,9;6352;Belgium;EARS;Urine
2021;E.coli;3GC;122260;5,6;6847;Belgium;EARS;Urine
2011;E.coli;3GC;65319;9,01;5883;Neighbours;EARS;
2012;E.coli;3GC;72086;10,43;7520;Neighbours;EARS;
2013;E.coli;3GC;81001;11,06;8956;Neighbours;EARS;
2014;E.coli;3GC;85719;11,03;9453;Neighbours;EARS;
2015;E.coli;3GC;91822;11,88;10908;Neighbours;EARS;
2016;E.coli;3GC;123944;11,8;14626;Neighbours;EARS;
2017;E.coli;3GC;140404;12,02;16874;Neighbours;EARS;
2018;E.coli;3GC;152720;13,36;20406;Neighbours;EARS;
2019;E.coli;3GC;157918;13,54;21377;Neighbours;EARS;
2020;E.coli;3GC;137465;12,69;17444;Neighbours;EARS;
2021;E.coli;3GC;;;;Neighbours;EARS;
2011;E.coli;3GC;17904;7,42;1329;Europe;EARS;
2012;E.coli;3GC;19990;8,6;1719;Europe;EARS;
2013;E.coli;3GC;22455;8,8;1977;Europe;EARS;
2014;E.coli;3GC;24087;9;2167;Europe;EARS;
2015;E.coli;3GC;27503;9,52;2617;Europe;EARS;
2016;E.coli;3GC;36171;10,27;3713;Europe;EARS;
2017;E.coli;3GC;44223;10,63;4701;Europe;EARS;
2018;E.coli;3GC;43287;10,51;4550;Europe;EARS;
2019;E.coli;3GC;44224;10,3;4557;Europe;EARS;
2020;E.coli;3GC;54299;9,57;5197;Europe;EARS;
2021;E.coli;3GC;;;;Europe;EARS;
2011;E.coli;ciprofloxacin;3549;21,5;764;Belgium;EARS;Blood/CSF
2012;E.coli;ciprofloxacin;3428;21,9;751;Belgium;EARS;Blood/CSF
2013;E.coli;ciprofloxacin;3679;23,2;854;Belgium;EARS;Blood/CSF
2014;E.coli;ciprofloxacin;2337;26,1;610;Belgium;EARS;Blood/CSF
2015;E.coli;ciprofloxacin;2402;26,8;644;Belgium;EARS;Blood/CSF
2016;E.coli;ciprofloxacin;3409;24,5;835;Belgium;EARS;Blood/CSF
2017;E.coli;ciprofloxacin;3890;23,3;906;Belgium;EARS;Blood/CSF
2018;E.coli;ciprofloxacin;3766;21,7;817;Belgium;EARS;Blood/CSF
2019;E.coli;ciprofloxacin;3802;19;722;Belgium;EARS;Blood/CSF
2020;E.coli;ciprofloxacin;4201;18,4;773;Belgium;EARS;Blood/CSF
2021;E.coli;ciprofloxacin;5046;18,1;913;Belgium;EARS;Blood/CSF
2011;E.coli;ciprofloxacin;na;na;na;Belgium;EARS;Urine
2012;E.coli;ciprofloxacin;na;na;na;Belgium;EARS;Urine
2013;E.coli;ciprofloxacin;na;na;na;Belgium;EARS;Urine
2014;E.coli;ciprofloxacin;na;na;na;Belgium;EARS;Urine
2015;E.coli;ciprofloxacin;na;na;na;Belgium;EARS;Urine
2016;E.coli;ciprofloxacin;na;na;na;Belgium;EARS;Urine
2017;E.coli;ciprofloxacin;75845;16,2;12287;Belgium;EARS;Urine
2018;E.coli;ciprofloxacin;93123;16,7;15552;Belgium;EARS;Urine
2019;E.coli;ciprofloxacin;97239;15,4;14975;Belgium;EARS;Urine
2020;E.coli;ciprofloxacin;103576;14,9;15433;Belgium;EARS;Urine
2021;E.coli;ciprofloxacin;119251;13,9;16576;Belgium;EARS;Urine
2011;E.coli;ciprofloxacin;66853;20,57;13755;Europe;EARS;
2012;E.coli;ciprofloxacin;73053;20,76;15163;Europe;EARS;
2013;E.coli;ciprofloxacin;82276;20,94;17226;Europe;EARS;
2014;E.coli;ciprofloxacin;84545;21,19;17919;Europe;EARS;
2015;E.coli;ciprofloxacin;91832;21,45;19694;Europe;EARS;
2016;E.coli;ciprofloxacin;125161;20,79;26024;Europe;EARS;
2017;E.coli;ciprofloxacin;141386;21,21;29981;Europe;EARS;
2018;E.coli;ciprofloxacin;154698;22,47;34763;Europe;EARS;
2019;E.coli;ciprofloxacin;161718;21,3;34442;Europe;EARS;
2020;E.coli;ciprofloxacin;137785;20,45;28180;Europe;EARS;
2021;E.coli;ciprofloxacin;;;;Europe;EARS;
2017;E.coli;3GC;44766;5,1;2283;Private lab;EARS;Urine
2018;E.coli;3GC;56820;6;3409;Private lab;EARS;Urine
2019;E.coli;3GC;57176;5,6;3202;Private lab;EARS;Urine
2020;E.coli;3GC;56877;5,4;3071;Private lab;EARS;Urine
2021;E.coli;3GC;62306;4,9;3053;Private lab;EARS;Urine
2017;E.coli;3GC;37870;6,7;2537;Hospital Lab;EARS;Urine
2018;E.coli;3GC;47436;6,8;3226;Hospital Lab;EARS;Urine
2019;E.coli;3GC;45364;7;3175;Hospital Lab;EARS;Urine
