Year;Pathogen;Antibiotic;Sample_size;Percent_resistant;Number_resistants;Region;Surveillance;Matrix
2011;P. aeruginosa;MDR;196;12,2;24;Belgium;EARS;Blood/CSF
2012;P. aeruginosa;MDR;246;8,9;22;Belgium;EARS;Blood/CSF
2013;P. aeruginosa;MDR;359;10,9;39;Belgium;EARS;Blood/CSF
2014;P. aeruginosa;MDR;253;6,7;17;Belgium;EARS;Blood/CSF
2015;P. aeruginosa;MDR;203;3,9;8;Belgium;EARS;Blood/CSF
2016;P. aeruginosa;MDR;278;6,5;18;Belgium;EARS;Blood/CSF
2017;P. aeruginosa;MDR;360;6,7;24;Belgium;EARS;Blood/CSF
2018;P. aeruginosa;MDR;366;5,5;20;Belgium;EARS;Blood/CSF
2019;P. aeruginosa;MDR;442;6,1;27;Belgium;EARS;Blood/CSF
2020;P. aeruginosa;MDR;493;6,7;33;Belgium;EARS;Blood/CSF
2021;P. aeruginosa;MDR;462;7,4;34;Belgium;EARS;Blood/CSF
2017;P. aeruginosa;MDR;3161;3,9;123;Belgium;EARS;Urine
2018;P. aeruginosa;MDR;4601;4,2;193;Belgium;EARS;Urine
2019;P. aeruginosa;MDR;4696;3,7;174;Belgium;EARS;Urine
2020;P. aeruginosa;MDR;4812;3,5;168;Belgium;EARS;Urine
2021;P. aeruginosa;MDR;6360;4,1;261;Belgium;EARS;Urine
2011;P. aeruginosa;MDR;10176;14,79;1505;Neighbours;EARS;
2012;P. aeruginosa;MDR;10891;14,36;1564;Neighbours;EARS;
2013;P. aeruginosa;MDR;12153;13,63;1656;Neighbours;EARS;
2014;P. aeruginosa;MDR;11939;14,48;1729;Neighbours;EARS;
2015;P. aeruginosa;MDR;12863;13,63;1753;Neighbours;EARS;
2016;P. aeruginosa;MDR;15628;11,72;1832;Neighbours;EARS;
2017;P. aeruginosa;MDR;17117;10,92;1870;Neighbours;EARS;
2018;P. aeruginosa;MDR;19306;11,22;2167;Neighbours;EARS;
2019;P. aeruginosa;MDR;20406;9,91;2023;Neighbours;EARS;
2020;P. aeruginosa;MDR;20421;9,72;1984;Neighbours;EARS;
2021;P. aeruginosa;MDR;;;;Neighbours;EARS;
2011;P. aeruginosa;MDR;2575;12,93;333;Europe;EARS;
2012;P. aeruginosa;MDR;2743;10,68;293;Europe;EARS;
2013;P. aeruginosa;MDR;3121;9,71;303;Europe;EARS;
2014;P. aeruginosa;MDR;3148;9,63;303;Europe;EARS;
2015;P. aeruginosa;MDR;3563;8,73;311;Europe;EARS;
2016;P. aeruginosa;MDR;4095;7,91;324;Europe;EARS;
2017;P. aeruginosa;MDR;4397;7,19;316;Europe;EARS;
2018;P. aeruginosa;MDR;4551;7,03;320;Europe;EARS;
2019;P. aeruginosa;MDR;4920;6,32;311;Europe;EARS;
2020;P. aeruginosa;MDR;6972;6,99;487;Europe;EARS;
2021;P. aeruginosa;MDR;;;;Europe;EARS;
2011;P. aeruginosa;MDR;137;0;0;Belgium;AMR;All sample types
2012;P. aeruginosa;MDR;6838;6,6;450;Belgium;AMR;All sample types
2013;P. aeruginosa;MDR;14595;5;730;Belgium;AMR;All sample types
2014;P. aeruginosa;MDR;18954;5,5;1035;Belgium;AMR;All sample types
2015;P. aeruginosa;MDR;19307;5,8;1122;Belgium;AMR;All sample types
2016;P. aeruginosa;MDR;22065;6;1313;Belgium;AMR;All sample types
2017;P. aeruginosa;MDR;19584;7,7;1515;Belgium;AMR;All sample types
2018;P. aeruginosa;MDR;20743;7,2;1488;Belgium;AMR;All sample types
2019;P. aeruginosa;MDR;18990;6,7;1270;Belgium;AMR;All sample types
2020;P. aeruginosa;MDR;18109;6,7;1212;Belgium;AMR;All sample types
2021;P. aeruginosa;MDR;19717;6;1185;Belgium;AMR;All sample types
