Year;Pathogen;Antibiotic;Sample_size;Percent_resistant;Number_resistants;Region;Surveillance;Matrix
2011;S. pneumoniae;Penicillin;1868;10,76;201;Belgium;;
2012;S. pneumoniae;Penicillin;1761;9,88;174;Belgium;;
2013;S. pneumoniae;Penicillin;1653;10,04;166;Belgium;;
2014;S. pneumoniae;Penicillin;1215;9,22;112;Belgium;;
2015;S. pneumoniae;Penicillin;1369;10,37;142;Belgium;;
2016;S. pneumoniae;Penicillin;1339;9,34;125;Belgium;;
2017;S. pneumoniae;Penicillin;1497;10,02;150;Belgium;;
2018;S. pneumoniae;Penicillin;1558;10,27;160;Belgium;;
2019;S. pneumoniae;Penicillin;1589;9,88;157;Belgium;;
2020;S. pneumoniae;Penicillin;882;14,85;131;Belgium;;
2021;S. pneumoniae;Penicillin;854;18,38;157;Belgium;;
2022;S. pneumoniae;Penicillin;1487;14,12;210;Belgium;;
2011;S. pneumoniae;Penicillin;3053;1,15;35;Neighbours;;
2012;S. pneumoniae;Penicillin;2462;0,28;7;Neighbours;;
2013;S. pneumoniae;Penicillin;2818;0,21;6;Neighbours;;
2014;S. pneumoniae;Penicillin;2519;0,44;11;Neighbours;;
2015;S. pneumoniae;Penicillin;3354;0,83;28;Neighbours;;
2016;S. pneumoniae;Penicillin;4000;1,03;41;Neighbours;;
2017;S. pneumoniae;Penicillin;4180;2,30;96;Neighbours;;
2018;S. pneumoniae;Penicillin;4760;3,89;185;Neighbours;;
2019;S. pneumoniae;Penicillin;4624;3,91;181;Neighbours;;
2020;S. pneumoniae;Penicillin;2766;4,52;125;Neighbours;;
2021;S. pneumoniae;Penicillin;;;;Neighbours;;
2011;S. pneumoniae;Penicillin;12735;1,96;249;Europe;;
2012;S. pneumoniae;Penicillin;11114;1,93;214;Europe;;
2013;S. pneumoniae;Penicillin;11612;2,19;254;Europe;;
2014;S. pneumoniae;Penicillin;10781;2,17;234;Europe;;
2015;S. pneumoniae;Penicillin;12185;2,35;286;Europe;;
2016;S. pneumoniae;Penicillin;15666;2,99;469;Europe;;
2017;S. pneumoniae;Penicillin;17163;1,53;263;Europe;;
2018;S. pneumoniae;Penicillin;18676;1,96;366;Europe;;
2019;S. pneumoniae;Penicillin;18237;2,06;376;Europe;;
2020;S. pneumoniae;Penicillin;8032;3,86;310;Europe;;
2021;S. pneumoniae;Penicillin;;;;Europe;;
2011;S. pneumoniae;Macrolide;1868;26,12;488;Belgium;;
2012;S. pneumoniae;Macrolide;1761;25,10;442;Belgium;;
2013;S. pneumoniae;Macrolide;1653;23,65;391;Belgium;;
2014;S. pneumoniae;Macrolide;1215;17,53;213;Belgium;;
2015;S. pneumoniae;Macrolide;1369;18,41;252;Belgium;;
2016;S. pneumoniae;Macrolide;1339;15,91;213;Belgium;;
2017;S. pneumoniae;Macrolide;1497;14,96;224;Belgium;;
2018;S. pneumoniae;Macrolide;1558;15,34;239;Belgium;;
2019;S. pneumoniae;Macrolide;1589;15,73;250;Belgium;;
2020;S. pneumoniae;Macrolide;882;19,50;172;Belgium;;
2021;S. pneumoniae;Macrolide;854;16,51;141;Belgium;;
2022;S. pneumoniae;Macrolide;1487;14,66;218;;;
2011;S. pneumoniae;Macrolide;3184;14,23;453;Neighbours;;
2012;S. pneumoniae;Macrolide;2573;12,16;313;Neighbours;;
2013;S. pneumoniae;Macrolide;3088;12,40;383;Neighbours;;
2014;S. pneumoniae;Macrolide;2621;9,54;250;Neighbours;;
2015;S. pneumoniae;Macrolide;3415;11,01;376;Neighbours;;
2016;S. pneumoniae;Macrolide;4085;10,01;409;Neighbours;;
2017;S. pneumoniae;Macrolide;4289;8,56;367;Neighbours;;
2018;S. pneumoniae;Macrolide;4779;9,58;458;Neighbours;;
2019;S. pneumoniae;Macrolide;4678;9,96;466;Neighbours;;
2020;S. pneumoniae;Macrolide;2892;9,37;271;Neighbours;;
2021;S. pneumoniae;Macrolide;;;;Neighbours;;
2011;S. pneumoniae;Macrolide;12670;14,65;1856;Europe;;
2012;S. pneumoniae;Macrolide;11286;14,73;1662;Europe;;
2013;S. pneumoniae;Macrolide;12212;13,81;1686;Europe;;
2014;S. pneumoniae;Macrolide;11036;12,01;1325;Europe;;
2015;S. pneumoniae;Macrolide;16036;11,06;1774;Europe;;
2016;S. pneumoniae;Macrolide;12682;12,66;1605;Europe;;
2017;S. pneumoniae;Macrolide;17587;10,58;1860;Europe;;
2018;S. pneumoniae;Macrolide;19217;10,89;2092;Europe;;
2019;S. pneumoniae;Macrolide;18948;11,25;2131;Europe;;
2020;S. pneumoniae;Macrolide;8362;13,38;1119;Europe;;
2021;S. pneumoniae;Macrolide;;;;Europe;;
