meetplaats;omschrijving;X;Y;gemeente1;gemeente2;provincie;regio;land;kaart;zuiveringsgebied;bekken;waterloop;segment;categorie;cat;owl;waterlichaam;orde owl;status;sterk_veranderd;categorie owl;type;A2 afstroomgebied;A1;A0;afstroomzone
107750;Goolderheideweg, opw weg;231653;207915;Bocholt;;Limburg;Vlaanderen;België;18/5;;Maasbekken;BALKENLOOP - BALKERBEEK;3001041;Onbevaarbaar cat. 2;CAT2;L217_5282;;Lokaal waterlichaam van 2de orde;Nog geen statuut toegekend;0;rivier;RtNt;A2_L217_5282;A1_VL22_221;A0_VL22_221;Afstroomzone van ZUID-WILLEMSVAART + KANAAL BOCHOLT-HERENTALS (deels) + KANAAL BRIEGDEN-NEERHAREN
113350;Afwateringssloot naar Kanielstraatbeek, 't Hasselt, zijweg Beerseldijk, opw inrit veld;241978;205237;Bree;;Limburg;Vlaanderen;België;18/6;;Maasbekken;VERSTRAETENSLOOTJE;6010975;Polder of wateringgracht;POW;NG_L217_5172;;Gracht;Nog geen statuut toegekend;0;rivier;NVT;A2_L217_5172;A1_L111_1087;A0_VL05_141;Afstroomzone van LOSSING
12000;Philippine,Isabellahaven,Dijckmeesterweg;104330;218850;Oostburg;;Onbekend;;Nederland;6/5-6;;Bekken van de Gentse Kanalen;LEOPOLDKANAAL;6019988;Bevaarbaar;BEV;VL08_172;LEOPOLDKANAAL I;Vlaams Waterlichaam;Kunstmatig;0;rivier;Rk;A2_VL08_172;A1_VL08_172;A0_VL08_172;Afstroomzone van LEOPOLDKANAAL I
122;Watersportlaan;36342;204544;Nieuwpoort;;West-Vlaanderen;Vlaanderen;België;12/5-6;;IJzerbekken;IJZER - HAVEN VAN NIEUWPOORT;6033623;Bevaarbaar;BEV;VL17_15;HAVENGEUL IJZER;Vlaams Waterlichaam;Natuurlijk;1;overgangswater;O2zout;A2_VL17_15;A1_VL17_15;A0_VL17_15;Afstroomzone van HAVENGEUL IJZER
122040;Stevensweert, NL, RO, kruising Maaspoort-Maasdijk,aan kanon, grenspaal, 20 m tot platvorm;253128;203443;Stevensweert;;Onbekend;;Nederland;18/8;;Maasbekken;MAAS - GEMEENSCHAPPELIJKE MAAS NOORD - GEMEENSCHAPPELIJKE MAAS IN LIMBURG - GRENSMAAS;3601124;Bevaarbaar;BEV;VL11_203;MAAS I+II+III;Vlaams Waterlichaam;Natuurlijk;1;rivier;Rzg;A2_VL11_203;A1_VL11_203;A0_VL11_203;Afstroomzone van MAAS I+II+III
13000;Philippinestraat,Posthoornhof,Hollekensstraat,opw brugje thv boerderij;107095;217906;Assenede;;Oost-Vlaanderen;Vlaanderen;België;14/1-2;Zelzate;Bekken van de Gentse Kanalen;ZWARTESLUISBEEK - VLIETBEEK - STAAKSKENSBEEK - STOEPEBEEK - STOEPE WATERGANG;6019801;Onbevaarbaar cat. 1;CAT1;VL08_27;ZWARTESLUISBEEK;Vlaams Waterlichaam;Natuurlijk;1;rivier;Pb;A2_VL08_27;A1_VL08_27;A0_VL08_27;Afstroomzone van ZWARTESLUISBEEK
146200;Wonck, N671, Rue de Campine (richting Wonck), begin vangrail, aarden wegje naar beneden, opw weg, Wonck;239445;164188;Bitsingen;;Luik;Wallonië;België;34/5-6;;Maasbekken;ZOUW;6043800;Onbevaarbaar cat. 2;CAT2;L111_1092;ZOUW;Lokaal waterlichaam van 1ste orde;Natuurlijk;1;rivier;Bk;A2_G_L111_1092;A1_G_L111_1092;A0_G_L111_1092;Afstroomzone van ZOUW
146250;Zichen-Zussen-Bolder, Mennestraat, tgo voetbalveld, opw, inbuizing en RWZI, Riemst;239111;164803;Riemst;;Limburg;Vlaanderen;België;34/5-6;Zichen;Maasbekken;ZOUW;6043800;Onbevaarbaar cat. 2;CAT2;L111_1092;ZOUW;Lokaal waterlichaam van 1ste orde;Natuurlijk;1;rivier;Bk;A2_G_L111_1092;A1_G_L111_1092;A0_G_L111_1092;Afstroomzone van ZOUW
154100;"Zandvliet, grens Doel; vaargeul midden Schelde thv P boei";141077;227033;Antwerpen;Antwerpen;Antwerpen;Vlaanderen;België;7/5-6;Antwerpen-Noord;Benedenscheldebekken;ZEESCHELDE - BENEDEN-ZEESCHELDE;6033846;Bevaarbaar;BEV;VL17_43;ZEESCHELDE IV;Vlaams Waterlichaam;Natuurlijk;1;overgangswater;O1brak;A2_VL17_43;A1_VL17_43;A0_VL17_43;Afstroomzone van ZEESCHELDE IV
162000;Kallebeekstraat, thv veerpont Hemiksem - Kruibeke (Bazel);147328;203675;Hemiksem;;Antwerpen;Vlaanderen;België;15/7-8;Aartselaar;Benedenscheldebekken;ZEESCHELDE - BENEDEN-ZEESCHELDE;6018692;Bevaarbaar;BEV;VL17_42;ZEESCHELDE III + RUPEL;Vlaams Waterlichaam;Natuurlijk;1;overgangswater;O1o;A2_VL17_42;A1_VL17_42;A0_VL17_42;Afstroomzone van ZEESCHELDE III + RUPEL
