"","ATCCode","DateUsedForStatisticsYear","Sector","ReportQuarter","TOTAL_VOLUME","TOTAL_VOLUME_UNIT","TOTAL_DDD"
"1","A07AA02",2014,"HC",1,3442.5,"mg",3.672
"2","A07AA02",2014,"HC",2,18933.75,"mg",20.196
"3","A07AA02",2014,"HC",3,31428.75,"mg",33.524
"4","A07AA02",2014,"HC",4,39397.5,"mg",42.024
"5","A07AA02",2015,"HC",1,178755,"mg",190.672
"6","A07AA02",2015,"HC",2,140377.5,"mg",149.736
"7","A07AA02",2015,"HC",3,733698.75,"mg",782.612
"8","A07AA02",2015,"HC",4,11962113.75,"mg",12759.588
"9","A07AA02",2016,"AC",1,21618292.5,"mg",23059.512
"10","A07AA02",2016,"AC",2,22128847.5,"mg",23604.104
"11","A07AA02",2016,"AC",3,20979720,"mg",22378.368
"12","A07AA02",2016,"AC",4,21861915,"mg",23319.376
"13","A07AA02",2016,"HC",1,19934367.5,"mg",21263.3253333333
"14","A07AA02",2016,"HC",2,19674486.25,"mg",20986.1186666667
"15","A07AA02",2016,"HC",3,18851838.75,"mg",20108.628
"16","A07AA02",2016,"HC",4,19588952.5,"mg",20894.8826666667
"17","A07AA02",2017,"AC",1,21466035,"mg",22897.104
"18","A07AA02",2017,"AC",2,22167480,"mg",23645.312
"19","A07AA02",2017,"AC",3,22230731.25,"mg",23712.78
"20","A07AA02",2017,"AC",4,23152042.5,"mg",24695.512
"21","A07AA02",2017,"HC",1,22514537.5,"mg",24015.5066666667
"22","A07AA02",2017,"HC",2,20366525,"mg",21724.2933333333
"23","A07AA02",2017,"HC",3,19451400,"mg",20748.16
"24","A07AA02",2017,"HC",4,19698156.875,"mg",21011.3673333333
"25","A07AA02",2018,"AC",1,22036053.75,"mg",23505.124
"26","A07AA02",2018,"AC",2,21619807.5,"mg",23061.128
"27","A07AA02",2018,"AC",3,20254035,"mg",21604.304
"28","A07AA02",2018,"AC",4,20434320,"mg",21796.608
"29","A07AA02",2018,"HC",1,21872117.5,"mg",23330.2586666667
"30","A07AA02",2018,"HC",2,19977926.875,"mg",21309.7886666667
"31","A07AA02",2018,"HC",3,19155216.875,"mg",20432.2313333333
"32","A07AA02",2018,"HC",4,20015297.5,"mg",21349.6506666667
"33","A07AA02",2019,"AC",1,19986258.75,"mg",21318.676
"34","A07AA02",2019,"AC",2,20008226.25,"mg",21342.108
"35","A07AA02",2019,"AC",3,19515472.5,"mg",20816.504
"36","A07AA02",2019,"AC",4,21050546.25,"mg",22453.916
"37","A07AA02",2019,"HC",1,22305345.625,"mg",23792.3686666667
"38","A07AA02",2019,"HC",2,18838709.375,"mg",20094.6233333333
"39","A07AA02",2019,"HC",3,19557196.25,"mg",20861.0093333333
"40","A07AA02",2019,"HC",4,19323575.625,"mg",20611.814
"41","A07AA02",2020,"AC",1,19187475,"mg",20466.64
"42","A07AA02",2020,"AC",2,16930125,"mg",18058.8
"43","A07AA02",2020,"AC",3,18491711.25,"mg",19724.492
"44","A07AA02",2020,"AC",4,19416240,"mg",20710.656
"45","A07AA02",2020,"HC",1,17876684.375,"mg",19068.4633333333
"46","A07AA02",2020,"HC",2,14867960,"mg",15859.1573333333
"47","A07AA02",2020,"HC",3,16384031.25,"mg",17476.3
"48","A07AA02",2020,"HC",4,17384372.5,"mg",18543.3306666667
"49","A07AA02",2021,"AC",1,17995927.5,"mg",19195.656
"50","A07AA02",2021,"AC",2,19050746.25,"mg",20320.796
"51","A07AA02",2021,"AC",3,18674647.5,"mg",19919.624
"52","A07AA02",2021,"AC",4,20029057.5,"mg",21364.328
"53","A07AA02",2021,"HC",1,17602217.5,"mg",18775.6986666667
"54","A07AA02",2021,"HC",2,16582050.625,"mg",17687.5206666667
"55","A07AA02",2021,"HC",3,15438669.375,"mg",16467.914
"56","A07AA02",2021,"HC",4,15122052.5,"mg",16130.1893333333
"57","A07AA06",2014,"HC",4,255,"mg",0.085
"58","A07AA06",2015,"HC",1,3825,"mg",1.275
"59","A07AA06",2015,"HC",2,255,"mg",0.085
"60","A07AA06",2015,"HC",3,39525,"mg",13.175
"61","A07AA06",2015,"HC",4,420495,"mg",140.165
"62","A07AA06",2016,"AC",1,66380482.5,"mg",22126.8275
"63","A07AA06",2016,"AC",2,62234937.5,"mg",20744.9791666667
"64","A07AA06",2016,"AC",3,61810232.5,"mg",20603.4108333333
"65","A07AA06",2016,"AC",4,70508628.75,"mg",23502.87625
"66","A07AA06",2016,"HC",1,629987.5,"mg",209.995833333333
"67","A07AA06",2016,"HC",2,562317.5,"mg",187.439166666667
"68","A07AA06",2016,"HC",3,603727.5,"mg",201.2425
"69","A07AA06",2016,"HC",4,820372.5,"mg",273.4575
"70","A07AA06",2017,"AC",1,63177520,"mg",21059.1733333333
"71","A07AA06",2017,"AC",2,58361840,"mg",19453.9466666667
"72","A07AA06",2017,"AC",3,58309320,"mg",19436.44
"73","A07AA06",2017,"AC",4,60308120,"mg",20102.7066666667
"74","A07AA06",2017,"HC",1,536310,"mg",178.77
"75","A07AA06",2017,"HC",2,559792.5,"mg",186.5975
"76","A07AA06",2017,"HC",3,708515,"mg",236.171666666667
"77","A07AA06",2017,"HC",4,825422.5,"mg",275.140833333333
