age;sex;TIME_PERIOD;OBS_VALUE
Y1;F;2011;63241
Y1;F;2012;64238
Y1;F;2013;63306
Y1;F;2014;62992
Y1;F;2015;61532
Y1;F;2016;61491
Y1;F;2017;60213
Y1;F;2018;59832
Y1;F;2019;58977
Y1;F;2020;58594
Y1;F;2021;58196
Y1;F;2022;56466
Y1;M;2011;66339
Y1;M;2012;67168
Y1;M;2013;66349
Y1;M;2014;65561
Y1;M;2015;64555
Y1;M;2016;64797
Y1;M;2017;63150
Y1;M;2018;62866
Y1;M;2019;61619
Y1;M;2020;61025
Y1;M;2021;60291
Y1;M;2022;59083
Y10;F;2011;59965
Y10;F;2012;59567
Y10;F;2013;58596
Y10;F;2014;59259
Y10;F;2015;60863
Y10;F;2016;62020
Y10;F;2017;64108
Y10;F;2018;64686
Y10;F;2019;65982
Y10;F;2020;66304
Y10;F;2021;67241
Y10;F;2022;66457
Y10;M;2011;62844
Y10;M;2012;61913
Y10;M;2013;61299
Y10;M;2014;61897
Y10;M;2015;63918
Y10;M;2016;65281
Y10;M;2017;66705
Y10;M;2018;67576
Y10;M;2019;69683
Y10;M;2020;69535
Y10;M;2021;70279
Y10;M;2022;69516
Y11;F;2011;59458
Y11;F;2012;60279
Y11;F;2013;59798
Y11;F;2014;58782
Y11;F;2015;59530
Y11;F;2016;61190
Y11;F;2017;62252
Y11;F;2018;64346
Y11;F;2019;65037
Y11;F;2020;66351
Y11;F;2021;66604
Y11;F;2022;67594
Y11;M;2011;61872
Y11;M;2012;63166
Y11;M;2013;62114
Y11;M;2014;61514
Y11;M;2015;62145
Y11;M;2016;64371
Y11;M;2017;65535
Y11;M;2018;66973
Y11;M;2019;67890
Y11;M;2020;70073
Y11;M;2021;69912
Y11;M;2022;70681
Y12;F;2011;59745
Y12;F;2012;59705
Y12;F;2013;60519
Y12;F;2014;60021
Y12;F;2015;59012
Y12;F;2016;59839
Y12;F;2017;61433
Y12;F;2018;62503
Y12;F;2019;64721
Y12;F;2020;65399
Y12;F;2021;66626
Y12;F;2022;66961
Y12;M;2011;62445
Y12;M;2012;62162
Y12;M;2013;63429
Y12;M;2014;62294
Y12;M;2015;61802
Y12;M;2016;62509
Y12;M;2017;64616
Y12;M;2018;65745
Y12;M;2019;67302
Y12;M;2020;68350
Y12;M;2021;70419
Y12;M;2022;70309
Y13;F;2011;60716
Y13;F;2012;60032
Y13;F;2013;59951
Y13;F;2014;60774
Y13;F;2015;60205
Y13;F;2016;59330
Y13;F;2017;60125
Y13;F;2018;61663
Y13;F;2019;62831
Y13;F;2020;65087
Y13;F;2021;65725
Y13;F;2022;66975
Y13;M;2011;63268
Y13;M;2012;62702
Y13;M;2013;62405
Y13;M;2014;63678
Y13;M;2015;62591
Y13;M;2016;62221
Y13;M;2017;62829
Y13;M;2018;64878
Y13;M;2019;66106
Y13;M;2020;67687
Y13;M;2021;68590
Y13;M;2022;70807
Y14;F;2011;60838
Y14;F;2012;61010
Y14;F;2013;60252
Y14;F;2014;60149
Y14;F;2015;61017
Y14;F;2016;60549
Y14;F;2017;59557
Y14;F;2018;60351
Y14;F;2019;61950
Y14;F;2020;63096
Y14;F;2021;65390
Y14;F;2022;66035
Y14;M;2011;63309
Y14;M;2012;63619
Y14;M;2013;62942
Y14;M;2014;62632
Y14;M;2015;63870
Y14;M;2016;63148
Y14;M;2017;62537
Y14;M;2018;63109
Y14;M;2019;65303
Y14;M;2020;66487
Y14;M;2021;68050
Y14;M;2022;69042
Y15;F;2011;60159
Y15;F;2012;61157
Y15;F;2013;61224
Y15;F;2014;60420
Y15;F;2015;60439
Y15;F;2016;61359
Y15;F;2017;60732
Y15;F;2018;59781
Y15;F;2019;60742
Y15;F;2020;62287
Y15;F;2021;63387
Y15;F;2022;65714
Y15;M;2011;62913
Y15;M;2012;63697
Y15;M;2013;63880
Y15;M;2014;63150
Y15;M;2015;62877
Y15;M;2016;64748
Y15;M;2017;63551
Y15;M;2018;62912
Y15;M;2019;63507
Y15;M;2020;65863
Y15;M;2021;66993
Y15;M;2022;68687
Y16;F;2011;60393
Y16;F;2012;60560
Y16;F;2013;61504
Y16;F;2014;61551
Y16;F;2015;60653
Y16;F;2016;60805
Y16;F;2017;61633
Y16;F;2018;61008
Y16;F;2019;60184
Y16;F;2020;61160
Y16;F;2021;62544
Y16;F;2022;63704
Y16;M;2011;64040
Y16;M;2012;63700
Y16;M;2013;64151
Y16;M;2014;64145
Y16;M;2015;63478
Y16;M;2016;64347
Y16;M;2017;65267
Y16;M;2018;63940
Y16;M;2019;63533
Y16;M;2020;64253
