DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,F,BE,2011,63241,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,F,BE,2012,64238,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,F,BE,2013,63306,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,F,BE,2014,62992,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,F,BE,2015,61532,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,F,BE,2016,61491,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,F,BE,2017,60213,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,F,BE,2018,59832,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,F,BE,2019,58977,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,F,BE,2020,58594,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,F,BE,2021,58196,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,F,BE,2022,56466,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,M,BE,2011,66339,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,M,BE,2012,67168,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,M,BE,2013,66349,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,M,BE,2014,65561,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,M,BE,2015,64555,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,M,BE,2016,64797,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y1,M,BE,2017,63150,
