"";"Year";"Measurement";"Volume (mg/kg)";"Unit";"Sector";"Volume (kg)";"Biomass (tonnes)"
"1";2012;"3rd and 4th gen cephalosporins";0,0253546061884653;"mg/kg biomass";"AC";17,42426;687222,663625
"2";2013;"3rd and 4th gen cephalosporins";0,0132323485792668;"mg/kg biomass";"AC";9,144507;691072,106
"3";2014;"3rd and 4th gen cephalosporins";0,0092749639043813;"mg/kg biomass";"AC";6,43416;693712,672775
"4";2015;"3rd and 4th gen cephalosporins";0,00559913383664844;"mg/kg biomass";"AC";3,90405;697259,632275
"5";2016;"3rd and 4th gen cephalosporins";0,0224468629958284;"mg/kg biomass";"AC";15,758443;702033,197375
"6";2017;"3rd and 4th gen cephalosporins";0,0211495214812381;"mg/kg biomass";"AC";14,90592;704787,577025
"7";2018;"3rd and 4th gen cephalosporins";0,0179658535388401;"mg/kg biomass";"AC";12,721455;708090,766325
"8";2019;"3rd and 4th gen cephalosporins";0,0158876302890187;"mg/kg biomass";"AC";11,31402;712127,598275
"9";2020;"3rd and 4th gen cephalosporins";0,0174078041293708;"mg/kg biomass";"AC";12,48057;716952,57525
"10";2021;"3rd and 4th gen cephalosporins";0,015110015334161;"mg/kg biomass";"AC";10,87568;719766,31125
"11";2012;"Carbapenems";0,0035854900171694;"mg/kg biomass";"AC";2,46403;687222,663625
"12";2013;"Carbapenems";0,00204475913255859;"mg/kg biomass";"AC";1,413076;691072,106
"13";2014;"Carbapenems";0,00257972799147701;"mg/kg biomass";"AC";1,78959;693712,672775
"14";2015;"Carbapenems";0,00159525942491577;"mg/kg biomass";"AC";1,11231;697259,632275
"15";2016;"Carbapenems";0,00278720152738703;"mg/kg biomass";"AC";1,956708;702033,197375
"16";2017;"Carbapenems";0,00242548259323158;"mg/kg biomass";"AC";1,70945;704787,577025
"17";2018;"Carbapenems";0,00314372126549987;"mg/kg biomass";"AC";2,22604;708090,766325
"18";2019;"Carbapenems";0,00639362947178148;"mg/kg biomass";"AC";4,55308;712127,598275
"19";2020;"Carbapenems";0,00255968116072403;"mg/kg biomass";"AC";1,83517;716952,57525
"20";2021;"Carbapenems";0,00173158979590961;"mg/kg biomass";"AC";1,24634;719766,31125
"21";2012;"Macrolides";8,33149961876739;"mg/kg biomass";"AC";5725,59536;687222,663625
"22";2013;"Macrolides";7,96251041291486;"mg/kg biomass";"AC";5502,6688401;691072,106
"23";2014;"Macrolides";7,91341170118787;"mg/kg biomass";"AC";5489,633982;693712,672775
"24";2015;"Macrolides";8,20516769963183;"mg/kg biomass";"AC";5721,132213;697259,632275
"25";2016;"Macrolides";7,83104653199663;"mg/kg biomass";"AC";5497,65463565;702033,197375
"26";2017;"Macrolides";7,14057075855848;"mg/kg biomass";"AC";5032,5855635;704787,577025
"27";2018;"Macrolides";7,24489101323122;"mg/kg biomass";"AC";5130,0404295;708090,766325
"28";2019;"Macrolides";6,96230771073889;"mg/kg biomass";"AC";4958,0514685;712127,598275
"29";2020;"Macrolides";4,98593418644673;"mg/kg biomass";"AC";3574,678355;716952,57525
"30";2021;"Macrolides";4,95160162929896;"mg/kg biomass";"AC";3563,9960395;719766,31125
"31";2012;"Penicillins";101,942029269393;"mg/kg biomass";"AC";70056,87288985;687222,663625
"32";2013;"Penicillins";87,8970657641838;"mg/kg biomass";"AC";60743,210348875;691072,106
"33";2014;"Penicillins";88,2788000542448;"mg/kg biomass";"AC";61240,122335;693712,672775
"34";2015;"Penicillins";89,8445548512591;"mg/kg biomass";"AC";62644,9812775;697259,632275
"35";2016;"Penicillins";90,9327483311309;"mg/kg biomass";"AC";63837,808057;702033,197375
"36";2017;"Penicillins";86,7064224104256;"mg/kg biomass";"AC";61109,60936315;704787,577025
"37";2018;"Penicillins";89,8384689383204;"mg/kg biomass";"AC";63613,790316;708090,766325
"38";2019;"Penicillins";87,0695889940862;"mg/kg biomass";"AC";62004,65729315;712127,598275
"39";2020;"Penicillins";62,0975248954586;"mg/kg biomass";"AC";44520,98039045;716952,57525
"40";2021;"Penicillins";66,7130671480146;"mg/kg biomass";"AC";48017,8182533;719766,31125
"41";2012;"Polymyxins";0,0035854900171694;"mg/kg biomass";"AC";2,46403;687222,663625
"42";2013;"Polymyxins";0,00204475913255859;"mg/kg biomass";"AC";1,413076;691072,106
"43";2014;"Polymyxins";0,00257972799147701;"mg/kg biomass";"AC";1,78959;693712,672775
"44";2015;"Polymyxins";0,00159525942491577;"mg/kg biomass";"AC";1,11231;697259,632275
"45";2016;"Polymyxins";0,00278720152738703;"mg/kg biomass";"AC";1,956708;702033,197375
"46";2017;"Polymyxins";0,00242548259323158;"mg/kg biomass";"AC";1,70945;704787,577025
"47";2018;"Polymyxins";0,00314372126549987;"mg/kg biomass";"AC";2,22604;708090,766325
"48";2019;"Polymyxins";0,00639362947178148;"mg/kg biomass";"AC";4,55308;712127,598275
"49";2020;"Polymyxins";0,00255968116072403;"mg/kg biomass";"AC";1,83517;716952,57525
"50";2021;"Polymyxins";0,00173158979590961;"mg/kg biomass";"AC";1,24634;719766,31125
"51";2012;"Quinolones";10,8475855724512;"mg/kg biomass";"AC";7454,706651;687222,663625
"52";2013;"Quinolones";10,4378256324818;"mg/kg biomass";"AC";7213,2901419;691072,106
"53";2014;"Quinolones";10,221125056915;"mg/kg biomass";"AC";7090,523982;693712,672775
"54";2015;"Quinolones";10,2125793296916;"mg/kg biomass";"AC";7120,819308;697259,632275
"55";2016;"Quinolones";9,66238971193068;"mg/kg biomass";"AC";6783,31834375;702033,197375
"56";2017;"Quinolones";8,92790199149155;"mg/kg biomass";"AC";6292,2744125;704787,577025
"57";2018;"Quinolones";4,70105908989096;"mg/kg biomass";"AC";3328,7765335;708090,766325
"58";2019;"Quinolones";2,43443718049884;"mg/kg biomass";"AC";1733,6299025;712127,598275
"59";2020;"Quinolones";2,0482548221379;"mg/kg biomass";"AC";1468,5015695;716952,57525
"60";2021;"Quinolones";1,99441706226425;"mg/kg biomass";"AC";1435,514212;719766,31125
"61";2012;"Tetracyclines";3,93977954935057;"mg/kg biomass";"AC";2707,505796;687222,663625
"62";2013;"Tetracyclines";4,06577090437506;"mg/kg biomass";"AC";2809,7408614;691072,106
"63";2014;"Tetracyclines";4,07018925386677;"mg/kg biomass";"AC";2823,541866;693712,672775
"64";2015;"Tetracyclines";3,81119472144047;"mg/kg biomass";"AC";2657,39223;697259,632275
"65";2016;"Tetracyclines";3,75234574796449;"mg/kg biomass";"AC";2634,2712831;702033,197375
"66";2017;"Tetracyclines";3,61655073115681;"mg/kg biomass";"AC";2548,900027;704787,577025
"67";2018;"Tetracyclines";3,43828024567483;"mg/kg biomass";"AC";2434,614494;708090,766325
"68";2019;"Tetracyclines";3,48269606318819;"mg/kg biomass";"AC";2480,123983;712127,598275
"69";2020;"Tetracyclines";3,26009691601286;"mg/kg biomass";"AC";2337,3348795;716952,57525
"70";2021;"Tetracyclines";3,50963173326765;"mg/kg biomass";"AC";2526,1146865;719766,31125
"71";2012;"Total";141,912068059017;"mg/kg biomass";"AC";97525,18941205;687222,663625
"72";2013;"Total";127,40757285457;"mg/kg biomass";"AC";88047,819692956;691072,106
"73";2014;"Total";126,228519802696;"mg/kg biomass";"AC";87566,32385276;693712,672775
"74";2015;"Total";128,230879858848;"mg/kg biomass";"AC";89410,21613668;697259,632275
"75";2016;"Total";127,618184759443;"mg/kg biomass";"AC";89592,202289865;702033,197375
