Year;Pathogen;Antibiotic;Sample_size;Percent_resistant;Number_resistants;Region;Surveillance;Matrix
2015;Acinetobacter;carbepenem;24;0;0;Belgium;EARS;Blood/CSF
2016;Acinetobacter;carbepenem;78;2,6;2;Belgium;EARS;Blood/CSF
2017;Acinetobacter;carbepenem;131;6,9;9;Belgium;EARS;Blood/CSF
2018;Acinetobacter;carbepenem;132;3,8;5;Belgium;EARS;Blood/CSF
2019;Acinetobacter;carbepenem;92;0;0;Belgium;EARS;Blood/CSF
2020;Acinetobacter;carbepenem;163;1,2;2;Belgium;EARS;Blood/CSF
2021;Acinetobacter;carbepenem;196;1,00;2;Belgium;EARS;Blood/CSF
2015;Acinetobacter;carbepenem;;;;Neighbours;EARS;
2016;Acinetobacter;carbepenem;;;;Neighbours;EARS;
2017;Acinetobacter;carbepenem;;;;Neighbours;EARS;
2018;Acinetobacter;carbepenem;;;;Neighbours;EARS;
2019;Acinetobacter;carbepenem;;;;Neighbours;EARS;
2020;Acinetobacter;carbepenem;;;;Neighbours;EARS;
2021;Acinetobacter;carbepenem;;;;Neighbours;EARS;
2015;Acinetobacter;carbepenem;;;;Europe;EARS;
2016;Acinetobacter;carbepenem;;;;Europe;EARS;
2017;Acinetobacter;carbepenem;;;;Europe;EARS;
2018;Acinetobacter;carbepenem;;;;Europe;EARS;
2019;Acinetobacter;carbepenem;;;;Europe;EARS;
2020;Acinetobacter;carbepenem;;;;Europe;EARS;
2021;Acinetobacter;carbepenem;;;;Europe;EARS;
2011;Acinetobacter;carbepenem;na;na;na;Belgium;AMR;
2012;Acinetobacter;carbepenem;na;na;na;Belgium;AMR;
2013;Acinetobacter;carbepenem;na;na;na;Belgium;AMR;
2014;Acinetobacter;carbepenem;na;na;na;Belgium;AMR;
2015;Acinetobacter;carbepenem;na;na;na;Belgium;AMR;
2016;Acinetobacter;carbepenem;na;na;na;Belgium;AMR;
2017;Acinetobacter;carbepenem;na;na;na;Belgium;AMR;
2018;Acinetobacter;carbepenem;na;na;na;Belgium;AMR;
2019;Acinetobacter;carbepenem;na;na;na;Belgium;AMR;
2020;Acinetobacter;carbepenem;na;na;na;Belgium;AMR;
2021;Acinetobacter;carbepenem;na;na;na;Belgium;AMR;
