Year;Pathogen;Antibiotic;Sample_size;Percent_resistant;Number_resistants;Region;Surveillance;Matrix
2011;C. albicans;Fluconazole;58;3,45;2;Belgium;;
2012;C. albicans;Fluconazole;104;1,92;2;Belgium;;
2013;C. albicans;Fluconazole;146;0,68;1;Belgium;;
2014;C. albicans;Fluconazole;202;0,99;2;Belgium;;
2015;C. albicans;Fluconazole;209;1,91;4;Belgium;;
2016;C. albicans;Fluconazole;264;1,89;5;Belgium;;
2017;C. albicans;Fluconazole;383;1,31;5;Belgium;;
2018;C. albicans;Fluconazole;310;0,65;2;Belgium;;
2019;C. albicans;Fluconazole;298;2,01;6;Belgium;;
2020;C. albicans;Fluconazole;361;4,43;16;Belgium;;
2021;C. albicans;Fluconazole;434;3,92;17;Belgium;;
2022;C. albicans;Fluconazole;379;3,17;12;Belgium;;
2011;C. glabrata;Fluconazole;71;15,49;11;Belgium;;
2012;C. glabrata;Fluconazole;68;14,71;10;Belgium;;
2013;C. glabrata;Fluconazole;104;12,5;13;Belgium;;
2014;C. glabrata;Fluconazole;110;18,18;20;Belgium;;
2015;C. glabrata;Fluconazole;123;26,83;33;Belgium;;
2016;C. glabrata;Fluconazole;144;19,44;28;Belgium;;
2017;C. glabrata;Fluconazole;177;11,86;21;Belgium;;
2018;C. glabrata;Fluconazole;159;23,27;37;Belgium;;
2019;C. glabrata;Fluconazole;156;12,18;19;Belgium;;
2020;C. glabrata;Fluconazole;197;12,69;25;Belgium;;
2021;C. glabrata;Fluconazole;198;20,2;40;Belgium;;
2022;C. glabrata;Fluconazole;216;19,91;43;Belgium;;
2011;C. glabrata;Anidulafungine;54;3,7;2;Belgium;;
2012;C. glabrata;Anidulafungine;62;0;0;Belgium;;
2013;C. glabrata;Anidulafungine;101;3,96;4;Belgium;;
2014;C. glabrata;Anidulafungine;109;0,92;1;Belgium;;
2015;C. glabrata;Anidulafungine;123;0,81;1;Belgium;;
2016;C. glabrata;Anidulafungine;144;1,39;2;Belgium;;
2017;C. glabrata;Anidulafungine;160;5;8;Belgium;;
2018;C. glabrata;Anidulafungine;159;1,26;2;Belgium;;
2019;C. glabrata;Anidulafungine;152;1,32;2;Belgium;;
2020;C. glabrata;Anidulafungine;196;0,51;1;Belgium;;
2021;C. glabrata;Anidulafungine;198;0;0;Belgium;;
2022;C. glabrata;Anidulafungine;215;0,93;2;Belgium;;
