HealthTopic;Population;Indicator;Unit;Time;RegionCode;RegionName;NumValue;TxtValue
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;AT;Austria;5;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;BE;Belgium;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;BG;Bulgaria;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;CY;Cyprus;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;CZ;Czechia;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;DE;Germany;33;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;DK;Denmark;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;EE;Estonia;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;EL;Greece;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;ES;Spain;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;FI;Finland;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;FR;France;1;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;HR;Croatia;1;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;HU;Hungary;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;IE;Ireland;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;IS;Iceland;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;IT;Italy;2;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;LT;Lithuania;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;LU;Luxembourg;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;LV;Latvia;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;MT;Malta;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;NL;Netherlands;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;NO;Norway;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;PL;Poland;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;PT;Portugal;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;RO;Romania;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;SE;Sweden;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;SI;Slovenia;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;I - 'susceptible, increased exposure' isolates ;N;2021;SK;Slovakia;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;AT;Austria;8;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;BE;Belgium;8;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;BG;Bulgaria;177;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;CY;Cyprus;192;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;CZ;Czechia;62;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;DE;Germany;23;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;DK;Denmark;7;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;EE;Estonia;1;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;EL;Greece;1160;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;ES;Spain;54;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;FI;Finland;1;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;FR;France;41;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;HR;Croatia;400;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;HU;Hungary;1173;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;IE;Ireland;2;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;IS;Iceland;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;IT;Italy;2295;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;LT;Lithuania;328;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;LU;Luxembourg;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;LV;Latvia;56;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;MT;Malta;0;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;NL;Netherlands;8;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;NO;Norway;1;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;PL;Poland;602;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;PT;Portugal;8;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;RO;Romania;306;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;SE;Sweden;7;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;SI;Slovenia;85;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates;N;2021;SK;Slovakia;91;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;AT;Austria;10,66666666;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;BE;Belgium;5,22875816;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;BG;Bulgaria;81,56682027;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;CY;Cyprus;89,71962616;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;CZ;Czechia;50,81967213;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;DE;Germany;4,18943533;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;DK;Denmark;7;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;EE;Estonia;-;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;EL;Greece;91,41055949;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;ES;Spain;58,06451612;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;FI;Finland;2,12765957;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;FR;France;6,09212481;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;HR;Croatia;98,76543209;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;HU;Hungary;81,79916317;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;IE;Ireland;3,125;
Antimicrobial resistance;Acinetobacter spp.|Aminoglycosides;R - resistant isolates, percentage  ;%;2021;IS;Iceland;-;
