Year;Pathogen;Antibiotic;Sample_size;Percent_resistant;Number_resistants;Region;Surveillance;Matrix
2011;K.pneumoniae;carbapenem;534;0,4;2;Belgium;EARS;Blood/CSF
2012;K.pneumoniae;carbapenem;545;0,7;4;Belgium;EARS;Blood/CSF
2013;K.pneumoniae;carbapenem;618;0,3;2;Belgium;EARS;Blood/CSF
2014;K.pneumoniae;carbapenem;429;0,5;2;Belgium;EARS;Blood/CSF
2015;K.pneumoniae;carbapenem;432;0,5;2;Belgium;EARS;Blood/CSF
2016;K.pneumoniae;carbapenem;669;2,4;16;Belgium;EARS;Blood/CSF
2017;K.pneumoniae;carbapenem;790;1,1;9;Belgium;EARS;Blood/CSF
2018;K.pneumoniae;carbapenem;935;1,4;13;Belgium;EARS;Blood/CSF
2019;K.pneumoniae;carbapenem;822;1,2;10;Belgium;EARS;Blood/CSF
2020;K.pneumoniae;carbapenem;957;1,4;13;Belgium;EARS;Blood/CSF
2021;K.pneumoniae;carbapenem;1016;1,4;14;Belgium;EARS;Blood/CSF
2011;K.pneumoniae;carbapenem;na;na;na;Belgium;EARS;Urine
2012;K.pneumoniae;carbapenem;na;na;na;Belgium;EARS;Urine
2013;K.pneumoniae;carbapenem;na;na;na;Belgium;EARS;Urine
2014;K.pneumoniae;carbapenem;na;na;na;Belgium;EARS;Urine
2015;K.pneumoniae;carbapenem;na;na;na;Belgium;EARS;Urine
2016;K.pneumoniae;carbapenem;9531;0,4;38;Belgium;EARS;Urine
2017;K.pneumoniae;carbapenem;13631;0,3;41;Belgium;EARS;Urine
2018;K.pneumoniae;carbapenem;14089;0,3;42;Belgium;EARS;Urine
2019;K.pneumoniae;carbapenem;14345;0,2;29;Belgium;EARS;Urine
2020;K.pneumoniae;carbapenem;17521;0,3;53;Belgium;EARS;Urine
2021;K.pneumoniae;carbapenem;1016;1,4;14;Belgium;EARS;Urine
2011;K.pneumoniae;carbapenem;3069;0,13;4;Neighbours;EARS;
2012;K.pneumoniae;carbapenem;3282;0,27;9;Neighbours;EARS;
2013;K.pneumoniae;carbapenem;3713;0,54;20;Neighbours;EARS;
2014;K.pneumoniae;carbapenem;4298;0,49;21;Neighbours;EARS;
2015;K.pneumoniae;carbapenem;5084;0,30;15;Neighbours;EARS;
2016;K.pneumoniae;carbapenem;6991;0,37;26;Neighbours;EARS;
2017;K.pneumoniae;carbapenem;8093;0,53;43;Neighbours;EARS;
2018;K.pneumoniae;carbapenem;8571;0,46;39;Neighbours;EARS;
2019;K.pneumoniae;carbapenem;9257;0,84;78;Neighbours;EARS;
2020;K.pneumoniae;carbapenem;12041;0,45;54;Neighbours;EARS;
2021;K.pneumoniae;carbapenem;;;;Neighbours;EARS;
2011;K.pneumoniae;carbapenem;15169;8,72;1323;Europe;EARS;
2012;K.pneumoniae;carbapenem;16548;7,49;1240;Europe;EARS;
2013;K.pneumoniae;carbapenem;18311;7,49;1371;Europe;EARS;
2014;K.pneumoniae;carbapenem;19809;6,82;1351;Europe;EARS;
2015;K.pneumoniae;carbapenem;22065;7,45;1643;Europe;EARS;
2016;K.pneumoniae;carbapenem;30314;6,48;1965;Europe;EARS;
2017;K.pneumoniae;carbapenem;32861;6,89;2263;Europe;EARS;
2018;K.pneumoniae;carbapenem;38141;8,68;3310;Europe;EARS;
2019;K.pneumoniae;carbapenem;40714;7,97;3246;Europe;EARS;
2020;K.pneumoniae;carbapenem;39068;10,20;3986;Europe;EARS;
2021;K.pneumoniae;carbapenem;;;;Europe;EARS;
2011;K.pneumoniae;AG, FQ and 3GC;435;5,5;24;Belgium;EARS;Blood/CSF
2012;K.pneumoniae;AG, FQ and 3GC;411;8,5;35;Belgium;EARS;Blood/CSF
2013;K.pneumoniae;AG, FQ and 3GC;464;8,2;38;Belgium;EARS;Blood/CSF
2014;K.pneumoniae;AG, FQ and 3GC;341;7,9;27;Belgium;EARS;Blood/CSF
2015;K.pneumoniae;AG, FQ and 3GC;396;8,6;34;Belgium;EARS;Blood/CSF
2016;K.pneumoniae;AG, FQ and 3GC;637;9,3;59;Belgium;EARS;Blood/CSF
2017;K.pneumoniae;AG, FQ and 3GC;632;8,5;54;Belgium;EARS;Blood/CSF
2018;K.pneumoniae;AG, FQ and 3GC;742;9,8;73;Belgium;EARS;Blood/CSF
2019;K.pneumoniae;AG, FQ and 3GC;806;9,2;74;Belgium;EARS;Blood/CSF
2020;K.pneumoniae;AG, FQ and 3GC;973;10,4;101;Belgium;EARS;Blood/CSF
2021;K.pneumoniae;AG, FQ and 3GC;931;7,6;71;Belgium;EARS;Blood/CSF
2011;K.pneumoniae;AG, FQ and 3GC;na;na;na;Belgium;EARS;Urine
2012;K.pneumoniae;AG, FQ and 3GC;na;na;na;Belgium;EARS;Urine
