Year;Pathogen;Antibiotic;Sample_size;Percent_resistant;Number_resistants;Region;Surveillance;Matrix
2016;M. genitalium;Macrolide;12;83,33;10;Belgium;NRC;
2017;M. genitalium;Macrolide;37;56,76;21;Belgium;NRC;
2018;M. genitalium;Macrolide;56;53,57;30;Belgium;NRC;
2019;M. genitalium;Macrolide;;;;Belgium;NRC;
2020;M. genitalium;Macrolide;46;78,6;36;Belgium;NRC;
2021;M. genitalium;Macrolide;43;83,7;36;Belgium;NRC;
2022;M. genitalium;Macrolide;34;76,50;26;Belgium;NRC;
2022;M. genitalium;Macrolide;232;55,2;128;Belgium;Study;
2016;M. genitalium;Macrolide and Fluoroquinolone;12;8,33;1;Belgium;NRC;
2017;M. genitalium;Macrolide and Fluoroquinolone;37;16,22;6;Belgium;NRC;
2018;M. genitalium;Macrolide and Fluoroquinolone;56;10,71;6;Belgium;NRC;
2019;M. genitalium;Macrolide and Fluoroquinolone;;;;Belgium;NRC;
2020;M. genitalium;Macrolide and Fluoroquinolone;46;31;14;Belgium;NRC;
2021;M. genitalium;Macrolide and Fluoroquinolone;43;39,5;17;Belgium;NRC;
2022;M. genitalium;Macrolide and Fluoroquinolone;34;23,50;8;Belgium;NRC;
2022;M. genitalium;Macrolide and Fluoroquinolone;232;21,6;50;Belgium;Study;
