Year;Pathogen;Antibiotic;Sample_size;Percent_resistant;Number_resistants;Region;Surveillance;Matrix
2013;N. gonorrhea;Ciprofloxacin;592;51,4;304;Belgium;;
2014;N. gonorrhea;Ciprofloxacin;558;53,9;301;Belgium;;
2015;N. gonorrhea;Ciprofloxacin;627;46,3;290;Belgium;;
2016;N. gonorrhea;Ciprofloxacin;593;45,9;272;Belgium;;
2017;N. gonorrhea;Ciprofloxacin;601;43,4;261;Belgium;;
2018;N. gonorrhea;Ciprofloxacin;682;42,4;289;Belgium;;
2019;N. gonorrhea;Ciprofloxacin;650;54,1;352;Belgium;;
2020;N. gonorrhea;Ciprofloxacin;495;52,1;258;Belgium;;
2021;N. gonorrhea;Ciprofloxacin;558;55,9;312;Belgium;;
2022;N. gonorrhea;Ciprofloxacin;675;56,30;380;Belgium;;
2013;N. gonorrhea;Azithromycin;592;0,2;1;Belgium;;
2014;N. gonorrhea;Azithromycin;558;1,3;7;Belgium;;
2015;N. gonorrhea;Azithromycin;627;0,8;5;Belgium;;
2016;N. gonorrhea;Azithromycin;593;5,2;31;Belgium;;
2017;N. gonorrhea;Azithromycin;601;3,7;22;Belgium;;
2018;N. gonorrhea;Azithromycin;682;7,2;49;Belgium;;
2019;N. gonorrhea;Azithromycin;650;9,4;61;Belgium;;
2020;N. gonorrhea;Azithromycin;495;16;79;Belgium;;
2021;N. gonorrhea;Azithromycin;558;18,6;104;Belgium;;
2022;N. gonorrhea;Azithromycin;675;33,60;227;Belgium;;
2013;N. gonorrhea;Ceftriaxone;592;0;0;Belgium;;
2014;N. gonorrhea;Ceftriaxone;558;0;0;Belgium;;
2015;N. gonorrhea;Ceftriaxone;627;0,2;1;Belgium;;
2016;N. gonorrhea;Ceftriaxone;593;0;0;Belgium;;
2017;N. gonorrhea;Ceftriaxone;601;0,3;2;Belgium;;
2018;N. gonorrhea;Ceftriaxone;682;0,7;5;Belgium;;
2019;N. gonorrhea;Ceftriaxone;650;0,2;1;Belgium;;
2020;N. gonorrhea;Ceftriaxone;495;0,4;2;Belgium;;
2021;N. gonorrhea;Ceftriaxone;558;0,4;2;Belgium;;
2022;N. gonorrhea;Ceftriaxone;675;0,00;0;Belgium;;
