Year;Pathogen;Antibiotic;Sample_size;Percent_resistant;Number_resistants;Region;Surveillance;Matrix
2019;Salmonella;Ciprofloxacin;96;13,4;13;Belgium;;
2020;Salmonella;Ciprofloxacin;73;17,8;13;Belgium;;
2021;Salmonella;Ciprofloxacin;68;22,1;15;Belgium;;
2022;Salmonella;Ciprofloxacin;95;30,5;29;Belgium;;
2019;Salmonella;3GC;96;0,8;1;Belgium;;
2020;Salmonella;3GC;73;2,7;2;Belgium;;
2021;Salmonella;3GC;68;2,9;2;Belgium;;
2022;Salmonella;3GC;95;3,2;3;Belgium;;
2019;Salmonella;Azithromycin;96;1,4;1;Belgium;;
2020;Salmonella;Azithromycin;73;1,4;1;Belgium;;
2021;Salmonella;Azithromycin;68;1,5;1;Belgium;;
2022;Salmonella;Azithromycin;95;0,00;0;Belgium;;
