Year;Antibiotic;Percent_resistance;Sample_size;Number_resistant;Source;Bacteria;;
2014;TMP-SMX;50%;470;237;cattle_feaces;E. coli;;
2015;TMP-SMX;53%;626;334;cattle_feaces;E. coli;;
2016;TMP-SMX;47%;1137;536;cattle_feaces;E. coli;;
2017;TMP-SMX;53%;1452;767;cattle_feaces;E. coli;;
2018;TMP-SMX;51%;1388;703;cattle_feaces;E. coli;;
2019;TMP-SMX;50%;1109;558;cattle_feaces;E. coli;;
2020;TMP-SMX;48%;836;403;cattle_feaces;E. coli;;
2021;TMP-SMX;56%;946;529;cattle_feaces;E. coli;;
2022;TMP-SMX;46,0%;897;413;cattle_feaces;E. coli;;
2014;Colistin;2%;470;9;cattle_feaces;E. coli;;
2015;Colistin;4%;626;24;cattle_feaces;E. coli;;
2016;Colistin;1%;1137;9;cattle_feaces;E. coli;;
2017;Colistin;0%;1452;5;cattle_feaces;E. coli;;
2018;Colistin;0%;1388;5;cattle_feaces;E. coli;;
2019;Colistin;3%;1109;38;cattle_feaces;E. coli;;
2020;Colistin;1%;836;9;cattle_feaces;E. coli;;
2021;Colistin;3%;946;24;cattle_feaces;E. coli;;
2022;Colistin;;;;cattle_feaces;E. coli;;
2014;Apramycin;;;;cattle_feaces;E. coli;;
2015;Apramycin;;;;cattle_feaces;E. coli;;
2016;Apramycin;;;;cattle_feaces;E. coli;;
2017;Apramycin;;;;cattle_feaces;E. coli;;
2018;Apramycin;;;;cattle_feaces;E. coli;;
2019;Apramycin;;;;cattle_feaces;E. coli;;
2020;Apramycin;;;;cattle_feaces;E. coli;;
2021;Apramycin;;;;cattle_feaces;E. coli;;
2022;Apramycin;;;;cattle_feaces;E. coli;;
2014;FLORPHENICOL;0%;20;0;pulmonary;M. haemolytica;;
2015;FLORPHENICOL;0%;22;0;pulmonary;M. haemolytica;;
2016;FLORPHENICOL;0%;46;0;pulmonary;M. haemolytica;;
2017;FLORPHENICOL;0%;75;0;pulmonary;M. haemolytica;;
2018;FLORPHENICOL;0%;49;0;pulmonary;M. haemolytica;;
2019;FLORPHENICOL;0%;48;0;pulmonary;M. haemolytica;;
2020;FLORPHENICOL;0%;37;0;pulmonary;M. haemolytica;;
2021;FLORPHENICOL;4%;56;2;pulmonary;M. haemolytica;;
2022;FLORPHENICOL;0;45;0;pulmonary;M. haemolytica;;
2014;TMP-SMX;15%;20;3;pulmonary;M. haemolytica;;
2015;TMP-SMX;9%;22;2;pulmonary;M. haemolytica;;
2016;TMP-SMX;0%;46;0;pulmonary;M. haemolytica;;
2017;TMP-SMX;1%;75;1;pulmonary;M. haemolytica;;
2018;TMP-SMX;0%;49;0;pulmonary;M. haemolytica;;
2019;TMP-SMX;2%;48;1;pulmonary;M. haemolytica;;
2020;TMP-SMX;0%;37;0;pulmonary;M. haemolytica;;
2021;TMP-SMX;4%;56;2;pulmonary;M. haemolytica;;
2022;TMP-SMX;0;45;0;pulmonary;M. haemolytica;;
2014;DOXYCYCLINE;;;;pulmonary;M. haemolytica;;
2015;DOXYCYCLINE;;;;pulmonary;M. haemolytica;;
2016;DOXYCYCLINE;;;;pulmonary;M. haemolytica;;
2017;DOXYCYCLINE;;;;pulmonary;M. haemolytica;;
2018;DOXYCYCLINE;;;;pulmonary;M. haemolytica;;
2019;DOXYCYCLINE;;;;pulmonary;M. haemolytica;;
2020;DOXYCYCLINE;;;;pulmonary;M. haemolytica;;
2021;DOXYCYCLINE;;;;pulmonary;M. haemolytica;;
2022;DOXYCYCLINE;;;;pulmonary;M. haemolytica;;
2014;FLORPHENICOL;0%;23;0;pulmonary;P. multocida;;
2015;FLORPHENICOL;0%;29;0;pulmonary;P. multocida;;
2016;FLORPHENICOL;3%;58;2;pulmonary;P. multocida;;
2017;FLORPHENICOL;0%;73;0;pulmonary;P. multocida;;
