Antibiotic;Country;River/lake;MEC;Ref
Amoxicillin;Italy ;Surface water, River Arno ;0.006 ;Zuccato et al., 2010
Amoxicillin;Italy ;Surface water, River Arno ;0.010;Zuccato et al., 2010
Amoxicillin;France ;Seine River ;0.068 ;Tuc Dinh et al., 2011
Amoxicillin;Greece ;Saronikos Gulf and Elefsis Bay in central Aegean Sea (WWTP impact from Athens) ;0.128 ;Alygizakis et al., 2016
Azithromycin;Spain ;"Ebro River (n=7; downstream WWTPs) ";0.017 ;Gros et al., 2007
Azithromycin;Spain ;"Ebro River (n=7; downstream WWTPs) ";0.068;Gros et al., 2007
Azithromycin;Spain ;Llobregat River ;0.072 ;López-Serna et al., 2010
Azithromycin;Spain ;Ebro River ;0.037 ;López-Serna et al., 2011
Azithromycin;Spain ;Jarama, Manzanares, Guadarrama, Henares, and Tagus Rivers ;0.569 ;Valcárcel et al., 2011
Azithromycin;Italy ;Receiving water in the Po Valley ;0.090 ;Al Aukidy et al., 2012
Azithromycin;Spain ;Llobregat River ;0.037 ;Osorio et al., 2012
Azithromycin;Spain ;Ebro River and tributaries ;0.041;López-Serna et al., 2012
Azithromycin;Spain ;Llobregat River ;0.018 ;Boleda et al., 2013
Azithromycin;Italy ;Receiving water of a large WWTP in the Po Valley ;0.007;Verlicchi et al., 2014
Azithromycin;Spain ;El Albujón River ;16.6;Moreno-González et al., 2014
Azithromycin;Spain ;Mar Menor lagoon (SE Spain, Murcia) ;0.164;Moreno-González et al., 2015
Azithromycin;Spain ;Llobregat, Ebro, Júcar, and Guadalquivir Rivers ;0.154;Osorio et al., 2016
Azithromycin;Spain ;Ter River downstream WWTP in Girona ;0.115;Rodriguez-Mozaz et al., 2015
Ciprofloxacin;Italy ;Po and Lambro River ;0.020 ;Calamari et al., 2003
Ciprofloxacin;Italy ;Po and Lambro River ;0.026;Calamari et al., 2003
Ciprofloxacin;Italy ;Po and Lambro Rivers ;0.020;Zuccato et al., 2005
Ciprofloxacin;Italy ;Po and Lambro Rivers ;0.026;Zuccato et al., 2005
Ciprofloxacin;Finland ;Vantaa River ;0.025;Vieno et al., 2006
Ciprofloxacin;France ;Arc River (WWTP impact) ;10;Feitosa et al., 2009
Ciprofloxacin;Italy ;Surface water, River Po ;0.009;Zuccato et al., 2010
Ciprofloxacin;Italy ;Surface water, River Po ;0.016;Zuccato et al., 2010
Ciprofloxacin;Italy ;Surface water, River Arno ;0.019;Zuccato et al., 2010
